antidep,var_id,cgrp,ctype,code,coef,likelir,vif,description,notes,Proper,Revised
TRAZODONE,216,dxo,ICD9,29635,2.6,24.19,1.04,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, In Partial Or Unspecified Remission","Major Depressive Disorder, Recurrent Episode, In Partial Or Unspecified Remission"
VENLAFAXINE,175,dxo,ICD9,29635,1.41,2.39,1.05,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, In Partial Or Unspecified Remission","Major Depressive Disorder, Recurrent Episode, In Partial Or Unspecified Remission"
Less common antidepressants or combination of antidepressants,199,dxo,ICD9,29635,1.35,3.6,1.08,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, IN PARTIAL OR UNSPECIFIED REMISSION",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, In Partial Or Unspecified Remission","Major Depressive Disorder, Recurrent Episode, In Partial Or Unspecified Remission"
ESCITALOPRAM,179,dxo,ICD9,29631,0.12,1.25,1.02,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MILD",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Mild","Major Depressive Disorder, Recurrent Episode, Mild"
TRAZODONE,213,dxo,ICD9,29631,0.29,2.87,1.02,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MILD",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Mild","Major Depressive Disorder, Recurrent Episode, Mild"
CITALOPRAM,187,dxo,ICD9,29632,-0.15,0.51,1.14,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
DESVENLAFAXINE,151,dxo,ICD9,29632,-0.25,0.45,1.19,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
DULOXETINE,190,dxo,ICD9,29632,-0.13,0.62,1.19,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
FLUOXETINE,165,dxo,ICD9,29632,-0.14,0.52,1.17,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
PAROXETINE,174,dxo,ICD9,29632,-0.08,0.57,1.14,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
ROPINIROLE,216,dxo,ICD9,29632,-0.18,0.65,1.1,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
SERTRALINE,184,dxo,ICD9,29632,-0.14,0.5,1.14,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
VENLAFAXINE,172,dxo,ICD9,29632,-0.16,0.5,1.19,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
Less common antidepressants or combination of antidepressants,196,dxo,ICD9,29632,-0.15,0.67,1.2,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
Less common antidepressants or combination of antidepressants,33,dxi,ICD9,29632,0.07,0.73,1.11,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Moderate","Major Depressive Disorder, Recurrent Episode, Moderate"
Less common antidepressants or combination of antidepressants,198,dxo,ICD9,29634,-0.14,0.57,1.04,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Specified As With Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Specified As With Psychotic Behavior"
AMITRIPTYLINE,167,dxo,ICD9,29633,0.23,2.97,1.07,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
CITALOPRAM,188,dxo,ICD9,29633,-0.18,0.41,1.1,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
DESVENLAFAXINE,152,dxo,ICD9,29633,-0.31,0.35,1.16,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
DULOXETINE,191,dxo,ICD9,29633,-0.19,0.53,1.15,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
FLUOXETINE,166,dxo,ICD9,29633,-0.15,0.44,1.12,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
PAROXETINE,175,dxo,ICD9,29633,-0.13,0.47,1.12,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
SERTRALINE,185,dxo,ICD9,29633,-0.18,0.4,1.11,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
VENLAFAXINE,173,dxo,ICD9,29633,-0.2,0.42,1.15,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
Less common antidepressants or combination of antidepressants,197,dxo,ICD9,29633,-0.18,0.57,1.19,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
Less common antidepressants or combination of antidepressants,34,dxi,ICD9,29633,0.04,0.67,1.35,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Recurrent Episode, Severe, Without Mention Of Psychotic Behavior"
AMITRIPTYLINE,164,dxo,ICD9,29630,1.86,11.31,1.07,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
BUPROPION,138,dxo,ICD9,29630,2.02,9.77,1.1,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
CITALOPRAM,185,dxo,ICD9,29630,0.9,1.62,1.07,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
DESVENLAFAXINE,149,dxo,ICD9,29630,1.2,1.63,1.11,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
DOXEPIN,182,dxo,ICD9,29630,1.01,2.42,1.08,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
DULOXETINE,188,dxo,ICD9,29630,0.98,1.89,1.1,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
ESCITALOPRAM,178,dxo,ICD9,29630,1.16,3.35,1.08,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
FLUOXETINE,163,dxo,ICD9,29630,0.97,1.64,1.09,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
MIRTAZAPINE,280,dxo,ICD9,29630,1.08,3.08,1.1,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
NORTRIPTYLINE,160,dxo,ICD9,29630,1.52,6.52,1.11,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
PAROXETINE,172,dxo,ICD9,29630,1,1.85,1.09,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
ROPINIROLE,214,dxo,ICD9,29630,0.47,1.38,1.06,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
SERTRALINE,182,dxo,ICD9,29630,0.87,1.48,1.07,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
TRAZODONE,212,dxo,ICD9,29630,2.18,12.33,1.09,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
VENLAFAXINE,170,dxo,ICD9,29630,1.05,1.63,1.12,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
Less common antidepressants or combination of antidepressants,194,dxo,ICD9,29630,1.03,2.13,1.13,"MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Recurrent Episode, Unspecified","Major Depressive Disorder, Recurrent Episode"
BUPROPION,136,dxo,ICD9,29622,0.15,1.34,1.02,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
CITALOPRAM,183,dxo,ICD9,29622,-0.08,0.55,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
DESVENLAFAXINE,147,dxo,ICD9,29622,-0.21,0.47,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
DULOXETINE,186,dxo,ICD9,29622,-0.12,0.61,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
FLUOXETINE,161,dxo,ICD9,29622,-0.06,0.52,1.05,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
PAROXETINE,170,dxo,ICD9,29622,-0.12,0.53,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
SERTRALINE,180,dxo,ICD9,29622,-0.12,0.48,1.05,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
VENLAFAXINE,168,dxo,ICD9,29622,-0.1,0.52,1.05,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
Less common antidepressants or combination of antidepressants,192,dxo,ICD9,29622,-0.11,0.62,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Moderate","Major Depressive Disorder, Single Episode, Moderate"
CITALOPRAM,184,dxo,ICD9,29623,-0.17,0.41,1.03,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
DESVENLAFAXINE,148,dxo,ICD9,29623,-0.22,0.34,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
DULOXETINE,187,dxo,ICD9,29623,-0.17,0.49,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
ESCITALOPRAM,177,dxo,ICD9,29623,-0.1,0.72,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
FLUOXETINE,162,dxo,ICD9,29623,-0.12,0.42,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
PAROXETINE,171,dxo,ICD9,29623,-0.21,0.4,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
SERTRALINE,181,dxo,ICD9,29623,-0.17,0.38,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
VENLAFAXINE,169,dxo,ICD9,29623,-0.22,0.38,1.05,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
Less common antidepressants or combination of antidepressants,193,dxo,ICD9,29623,-0.12,0.53,1.04,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE, WITHOUT MENTION OF PSYCHOTIC BEHAVIOR",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior","Major Depressive Disorder, Single Episode, Severe, Without Mention Of Psychotic Behavior"
AMITRIPTYLINE,162,dxo,ICD9,29620,0.25,2.44,1.02,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Unspecified","Major Depressive Disorder, Single Episode"
BUPROPION,134,dxo,ICD9,29620,0.16,1.67,1.02,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Unspecified","Major Depressive Disorder, Single Episode"
TRAZODONE,208,dxo,ICD9,29620,0.24,2.59,1.03,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Unspecified","Major Depressive Disorder, Single Episode"
Less common antidepressants or combination of antidepressants,31,dxi,ICD9,29620,0.17,0.79,1.18,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED",MOOD DISORDERS,"Major Depressive Disorder, Single Episode, Unspecified","Major Depressive Disorder, Single Episode"
ESCITALOPRAM,373,dxo,ICD9,61171,-0.08,0.92,1.01,MASTODYNIA,NONMALIGNANT BREAST CONDITIONS,Mastodynia,Mastodynia
FLUOXETINE,354,dxo,ICD9,61171,-0.1,0.88,1.02,MASTODYNIA,NONMALIGNANT BREAST CONDITIONS,Mastodynia,Mastodynia
SERTRALINE,374,dxo,ICD9,61171,-0.11,0.89,1.01,MASTODYNIA,NONMALIGNANT BREAST CONDITIONS,Mastodynia,Mastodynia
VENLAFAXINE,365,dxo,ICD9,61171,-0.14,0.83,1.02,MASTODYNIA,NONMALIGNANT BREAST CONDITIONS,Mastodynia,Mastodynia
Less common antidepressants or combination of antidepressants,397,dxo,ICD9,61171,-0.08,0.87,1.02,MASTODYNIA,NONMALIGNANT BREAST CONDITIONS,Mastodynia,Mastodynia
CITALOPRAM,897,rx,GEN,G07475,-0.08,0.99,1.06,MECLIZINE HCL,ANTINAUSEANTS,Meclizine Hcl,Meclizine 
SERTRALINE,896,rx,GEN,G07475,-0.09,1.04,1.06,MECLIZINE HCL,ANTINAUSEANTS,Meclizine Hcl,Meclizine 
ROPINIROLE,894,rx,GEN,G07522,-0.11,0.94,1.02,MELOXICAM,ANTIARTHRITICS,Meloxicam,Meloxicam
FLUOXETINE,497,dxo,ICD9,78093,-0.08,0.99,1.07,MEMORY LOSS,RESIDUAL CODES; UNCLASSIFIED,Memory Loss,Memory Loss
DESVENLAFAXINE,881,rx,GEN,G07646,0.15,1.08,1.01,METAXALONE,MUSCLE RELAXANTS,Metaxalone,Metaxalone
CITALOPRAM,902,rx,GEN,G07647,0.04,1.29,1.1,METFORMIN HCL,DIABETIC THERAPY,Metformin Hcl,Metformin 
FLUOXETINE,889,rx,GEN,G07647,0.04,1.45,1.47,METFORMIN HCL,DIABETIC THERAPY,Metformin Hcl,Metformin 
PAROXETINE,885,rx,GEN,G07647,0.06,1.46,1.47,METFORMIN HCL,DIABETIC THERAPY,Metformin Hcl,Metformin 
SERTRALINE,901,rx,GEN,G07647,0.07,1.38,1.12,METFORMIN HCL,DIABETIC THERAPY,Metformin Hcl,Metformin 
Less common antidepressants or combination of antidepressants,898,rx,GEN,G07647,0.06,1.32,1.13,METFORMIN HCL,DIABETIC THERAPY,Metformin Hcl,Metformin 
SERTRALINE,903,rx,GEN,G07708,0.08,1.36,1.05,METHOTREXATE SODIUM,ANTINEOPLASTICS,Methotrexate Sodium,Methotrexate Sodium
Less common antidepressants or combination of antidepressants,901,rx,GEN,G07708,0.07,1.29,1.02,METHOTREXATE SODIUM,ANTINEOPLASTICS,Methotrexate Sodium,Methotrexate Sodium
BUPROPION,881,rx,GEN,G07769,0.16,1.59,1.02,METHYLPHENIDATE HCL,CNS STIMULANTS,Methylphenidate Hcl,Methylphenidate 
VENLAFAXINE,896,rx,GEN,G07769,-0.11,0.6,1.03,METHYLPHENIDATE HCL,CNS STIMULANTS,Methylphenidate Hcl,Methylphenidate 
Less common antidepressants or combination of antidepressants,903,rx,GEN,G07773,-0.03,0.98,1.08,METHYLPREDNISOLONE,GLUCOCORTICOIDS,Methylprednisolone,Methylprednisolone
FLUOXETINE,894,rx,GEN,G07796,-0.09,0.93,1.04,METOCLOPRAMIDE HCL,ANTINAUSEANTS,Metoclopramide Hcl,Metoclopramide 
DESVENLAFAXINE,888,rx,GEN,G07801,0.12,1.25,1.03,METOPROLOL SUCCINATE,OTHER CARDIOVASCULAR PREPS,Metoprolol Succinate,Metoprolol Succinate
CITALOPRAM,910,rx,GEN,G07809,-0.06,0.85,1.15,METRONIDAZOLE,ALL OTHER DERMATOLOGICALS,Metronidazole,Metronidazole
FLUOXETINE,897,rx,GEN,G07809,-0.05,0.89,1.14,METRONIDAZOLE,ALL OTHER DERMATOLOGICALS,Metronidazole,Metronidazole
PAROXETINE,893,rx,GEN,G07809,-0.03,0.87,1.13,METRONIDAZOLE,ALL OTHER DERMATOLOGICALS,Metronidazole,Metronidazole
SERTRALINE,909,rx,GEN,G07809,-0.07,0.88,1.14,METRONIDAZOLE,ALL OTHER DERMATOLOGICALS,Metronidazole,Metronidazole
VENLAFAXINE,901,rx,GEN,G07809,-0.06,0.87,1.12,METRONIDAZOLE,ALL OTHER DERMATOLOGICALS,Metronidazole,Metronidazole
Less common antidepressants or combination of antidepressants,907,rx,GEN,G07809,-0.02,0.91,1.12,METRONIDAZOLE,ALL OTHER DERMATOLOGICALS,Metronidazole,Metronidazole
DOXEPIN,223,dxo,ICD9,34690,0.23,1.13,1.03,"MIGRAINE, UNSPECIFIED WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS",HEADACHE; INCLUDING MIGRAINE,"Migraine, Unspecified Without Mention Of Intractable Migraine Without Mention Of Status Migrainosus",Migraine
CITALOPRAM,912,rx,GEN,G07946,-0.09,0.7,1.08,MIRTAZAPINE,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Mirtazapine,Mirtazapine
FLUOXETINE,899,rx,GEN,G07946,-0.04,0.71,1.08,MIRTAZAPINE,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Mirtazapine,Mirtazapine
MIRTAZAPINE,928,rx,GEN,G07946,0.81,1.53,1.39,MIRTAZAPINE,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Mirtazapine,Mirtazapine
SERTRALINE,911,rx,GEN,G07946,-0.08,0.7,1.08,MIRTAZAPINE,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Mirtazapine,Mirtazapine
VENLAFAXINE,903,rx,GEN,G07946,-0.09,0.66,1.08,MIRTAZAPINE,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Mirtazapine,Mirtazapine
Less common antidepressants or combination of antidepressants,909,rx,GEN,G07946,0.15,0.93,1.16,MIRTAZAPINE,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Mirtazapine,Mirtazapine
ESCITALOPRAM,274,dxo,ICD9,4240,-0.08,0.95,1.05,MITRAL VALVE DISORDERS,HEART VALVE DISORDERS,Mitral Valve Disorders,Mitral Valve Disorders
AMITRIPTYLINE,145,dxo,ICD9,2722,0.13,1.35,1.03,MIXED HYPERLIPIDEMIA,DISORDERS OF LIPID METABOLISM,Mixed Hyperlipidemia,Mixed Hyperlipidemia
CITALOPRAM,158,dxo,ICD9,2722,0.03,1.25,1.11,MIXED HYPERLIPIDEMIA,DISORDERS OF LIPID METABOLISM,Mixed Hyperlipidemia,Mixed Hyperlipidemia
DULOXETINE,166,dxo,ICD9,2722,0.03,1.16,1.1,MIXED HYPERLIPIDEMIA,DISORDERS OF LIPID METABOLISM,Mixed Hyperlipidemia,Mixed Hyperlipidemia
ESCITALOPRAM,152,dxo,ICD9,2722,0.04,1.2,1.09,MIXED HYPERLIPIDEMIA,DISORDERS OF LIPID METABOLISM,Mixed Hyperlipidemia,Mixed Hyperlipidemia
FLUOXETINE,142,dxo,ICD9,2722,0.05,1.41,1.12,MIXED HYPERLIPIDEMIA,DISORDERS OF LIPID METABOLISM,Mixed Hyperlipidemia,Mixed Hyperlipidemia
PAROXETINE,149,dxo,ICD9,2722,0.04,1.29,1.1,MIXED HYPERLIPIDEMIA,DISORDERS OF LIPID METABOLISM,Mixed Hyperlipidemia,Mixed Hyperlipidemia
BUPROPION,889,rx,GEN,G07962,0.23,1.83,1.01,MODAFINIL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Modafinil,Modafinil
SERTRALINE,913,rx,GEN,G07984,0.03,1.09,1.06,MONTELUKAST SODIUM,BRONCHIAL DILATORS,Montelukast Sodium,Montelukast Sodium
